id,xcenter,ycenter,aperture_sum,aperture_sum_err,bkg_sum,aperture_sum_bkgsub,Mag,Mag_err
1,546.4471629569749,14.019877443646932,537652.734955,633.804795438,475945.31271,61707.4222452,17.4695346143,0.0111513630187
2,108.45226497428216,21.373994314318917,770212.169736,746.155574869,477411.424186,292800.745551,15.7789476804,0.00276673171071
3,43.07492665685516,24.652427228116697,625869.230002,678.615882085,458208.97566,167660.254341,16.3843028243,0.00439444199863
4,14.871229096936771,69.7828197857918,534308.117957,632.043332418,450892.38237,83415.7355868,17.1422581662,0.00822637888618
5,191.44172312724092,82.96739915439129,787973.476421,754.048415575,516390.881621,271582.5948,15.8606232924,0.00301444341598
6,101.00481555103674,85.74350294718674,546550.571426,638.467234634,521566.668161,24983.9032645,18.4512274018,0.0277452193639
7,156.53365512910298,90.86094394885357,560809.047275,645.868454305,535934.006775,24875.0404999,18.4559686347,0.0281896779562
8,334.908997981809,93.0810659948613,584682.464286,658.074214361,453823.367997,130859.096289,16.6533683341,0.00545985105196
9,274.51883391997967,110.07268759832435,555874.309751,643.316590219,469062.224832,86812.0849196,17.0989276595,0.00804552525893
10,169.01055829366217,117.15291781018266,541088.370839,635.609111517,521416.068116,19672.3027231,18.7107401289,0.0350788020135
11,370.4962158575233,135.88735231159663,543974.393006,637.120834239,463696.80361,80277.5893965,17.1838923188,0.00861662756609
12,311.38697229175966,138.4841586640274,574057.608797,652.670234203,471002.349362,103055.259435,16.9127027236,0.00687596224743
13,382.1449673177916,143.1951614966403,548788.611181,639.634611481,467042.911546,81745.6996358,17.164215838,0.0084952639806
14,439.30987492258237,142.84917739131234,553775.360519,642.228102595,473930.212218,79845.1483008,17.1897567963,0.00873274163586
15,573.0782830512692,162.5901194124084,573401.0752,652.334841588,468680.775421,104720.299779,16.895300934,0.00676315804105
16,196.59385730536357,168.88149103713928,534958.586408,632.386289928,469066.908988,65891.6774202,17.3983017169,0.0104198560707
17,388.1173382660077,214.93095643547778,545969.479195,638.163783742,470291.977903,75677.501292,17.2479611656,0.00915535539863
18,13.785144400508653,245.3417900494381,587155.598254,659.32407378,474834.077632,112321.520622,16.8192206901,0.00637302756356
19,55.056863265712565,246.14076520968186,534988.783465,632.402206717,465859.322456,69129.4610097,17.346220199,0.00993207622052
20,498.0175133295508,269.7842485337201,560854.066155,645.891688175,456607.907454,104246.158701,16.9002279737,0.00672681482547
21,205.55290968457194,339.1598016168383,538740.041464,634.3763786,522155.575616,16584.4658471,18.8961244052,0.0415293709544
22,484.42717262533876,342.6778025933082,931466.34373,815.015904489,467675.007511,463791.336219,15.2795715469,0.00190788981682
23,495.88252644765834,350.3818282655382,1205477.27117,920.285214593,460767.202607,744710.068567,14.765410062,0.00134166798551
24,354.4513614837873,363.901323091232,543083.127184,636.65436479,468252.042545,74831.084639,17.2601730256,0.0092370122281
25,556.1520146210369,365.37744049580596,531850.824954,630.746049309,511915.126043,19935.6989106,18.6962994613,0.0343504879767
26,597.2028290385679,403.6674237703784,353958.916299,511.870847573,466214.169394,-112255.253094,nan,nan
27,502.3244135657909,439.89015614728805,797552.096974,758.270901503,455603.90715,341948.189824,15.6104773533,0.00240754226009
28,322.3511958689149,453.6511773827719,559178.166391,645.026205936,464012.939973,95165.2264187,16.9991824129,0.00735883240275
29,334.8398723718127,453.51350578204983,559143.229485,645.008151168,455973.336839,103169.892645,16.9114956794,0.00678769098007
30,178.37943734546423,457.3570425949719,540246.441785,635.167424076,462098.887634,78147.5541517,17.2130896507,0.00882434875672
31,463.46434468774135,481.35026157925313,548580.026418,639.525902286,466227.33806,82352.6883579,17.1561836734,0.00843121561611
32,452.6433210216573,493.7787637680594,539267.398039,634.65341784,473358.980825,65908.4172145,17.3980259204,0.0104545556527
33,205.11894257257694,495.22632729370963,545293.79915,637.810756821,551059.353834,-5765.55468402,nan,nan
34,274.8320302208296,535.1616650213376,534213.375862,631.99336441,462457.682226,71755.6936363,17.3057372086,0.00956237980525
35,572.3763644987479,535.0363988184668,550066.041881,640.299973974,463295.61593,86770.4259514,17.0994488025,0.00801164306987
36,362.67957306038,537.4278981276112,958810.97086,826.123886587,468235.957329,490575.013531,15.2186145647,0.00182830898217
37,237.41630445501477,546.5105975584606,535935.359321,632.900941405,462457.682226,73477.6770955,17.2799895805,0.00935169127883
38,198.7008851247031,570.0288415115886,548803.948108,639.642603977,463089.33629,85714.6118184,17.1127409693,0.00810200221881
39,82.16728877133772,591.4802143093204,743959.247796,729.516910515,468183.577266,275775.67053,15.8439882529,0.00287203185192
